country_iso3,country_name,year,agency,rating,outlook,action,action_date,rating_score,provenance,data_note
DEU,Germany,2000,S&P,AAA,Stable,assign,2000-07-16,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2014,Moody's,Ba3,Stable,upgrade,2014-10-11,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2011,Fitch,AA,Stable,downgrade,2011-08-14,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2000,Fitch,BBB-,Stable,assign,2000-12-06,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2013,Moody's,Aa3,Stable,downgrade,2013-11-18,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2023,Fitch,B+,Stable,downgrade,2023-01-02,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2000,Moody's,Aa1,Stable,assign,2000-12-18,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2004,S&P,CCC,Stable,upgrade,2004-12-10,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2014,Fitch,BB-,Stable,upgrade,2014-03-23,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2015,Moody's,Caa3,Stable,downgrade,2015-03-25,3,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2014,Moody's,Aa2,Stable,upgrade,2014-01-15,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2006,S&P,B,Stable,upgrade,2006-06-13,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2001,S&P,C/D,Negative,downgrade,2001-01-09,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2022,Moody's,Ba1,Stable,upgrade,2022-02-10,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2015,Fitch,AA-,n/a,downgrade,2015-10-18,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2003,Fitch,A+,Stable,downgrade,2003-09-18,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2000,Moody's,A3,Stable,assign,2000-03-05,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2013,S&P,BBB-,,downgrade,2013-05-23,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2000,Fitch,BBB-u,Stable,assign,2000-08-21,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2015,S&P,CCC,Stable,downgrade,2015-04-01,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2021,Moody's,Aa1,Stable,downgrade,2021-08-09,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2000,Fitch,Au,Stable,assign,2000-11-06,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2018,Fitch,BB+,Stable,upgrade,2018-07-21,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2000,S&P,AAA,Developing,assign,2000-02-27,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2015,S&P,BB-,Stable,downgrade,2015-09-16,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2000,Fitch,B,Stable,assign,2000-11-22,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2022,Fitch,AA-,Stable,upgrade,2022-05-16,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2005,S&P,B-,Stable,downgrade,2005-12-12,6,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2016,Moody's,Aa2,Stable,upgrade,2016-09-25,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2013,Moody's,Caa2,Stable,downgrade,2013-03-21,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2022,S&P,CCC,Stable,downgrade,2022-12-06,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2021,S&P,BB,Stable,upgrade,2021-12-03,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2015,Moody's,B2,Developing,downgrade,2015-02-01,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2018,S&P,AA,Stable,upgrade,2018-09-24,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2005,S&P,A-,Stable,upgrade,2005-08-05,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
